Année,1418,1418,1418,1418,1418,1418,1418,1418,1419,1419,1419,1419,1419,1419,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1421,1421,1421,1421,1421,1421,1421,1421,1421,1422,1422,1422,1422,1422,1422,1422,1423,1423,1423,1423,1423,1423,1424,1424,1424,1424,1424,1424,1424,1424,1424,1424,1425,1425,1425,1425,1425,1425,1425,1425,1426,1426,1426,1426,1426,1427,1427,1427,1427,1427,1427,1427,1428,1428,1428,1428,1428,1428,1428,1428,1429,1429,1429,1429,1429,1429,1429,1429,1429,1429,1430,1430,1430,1430,1430,1430,1430,1433,1433,1433,1433,1433,1433,1433,1433,1433,1434,1434,1434,1434,1434,1434,1434,1434,1434,1434,1435,1435,1435,1435,1435,1436,1436,1436,1436
Nom de la ferme ,PC,G,PT,CV,HP,TT,F,VM,PC,TV,TP,PT,CV,QT,LC,JC,G,PC,TT,VM,PC*,TP,HP,PT,F,CV,EV,LC,G,TP,HP,PH,PT,CV,F,G,LC,PC,TP,HP,EV,PT,F,G,PV,HP,PT,CV,VM,TP,EV,PV,G,HP,PT,CV,TP,EV*,PV,G,PT,TP,CV,F,EV,HP,PV,G,PT,TP,CV,F1,PV,G,PT,TP,F2,EV,PV,PT,TP,G,EV,CV,FS,HP,PV,PT,G,TP,EV,CV,FS,F,TM,HP,PT,PV,CV,G,FS,TP,PC,PV,TP,PT,G,EV,TPC 1,TPC 2,PC,VM,PV,PT,TP,G,EV,CV,FS,PTA,PC,HP,PV,PT,CV,G,F,PT,PV,G,TP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 6,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,24,,,,,,48,,,,,,9,,,,,,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,,,,,,,,252,,,,,,,,,,,,,,,,307,,,,,,,,,,,24,,,
T 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,,,,,,,,264,,,,,,,,,,,,,,,,306,,,,,,,,,,,296,,,
T 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,,,,,,,,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P 1 (remise de ferme),2,,23,35; 36,39,40,41,45,51,5,,,,,18,66,70,,11,,,83,70,29,93,35,77,18,15,52,113,114,117,35,123,15,15,,141,39,106,24,,9,150; 20,73,24,169,171,141,53,17,48,70,23,36,141,53; 5,60,48,23,207,210,41,208,,150,,24,53,,,150,48,24,53,52,1,201; 150,24,150; 20,20,24,251,250,,201,24,58,58,5,252,264,,,270,,201,233,281,252,,286; 287,,,,,,,,,,279,,24,280,306,,,,,,247,296,5,256,,296,324,280,280
T P1,3; 73; 5 ,,10; 5; 30; 31; 32,10; 5; 30; 32; 31,10; 5; 30; 32; 31,10; 5; 30; 32; 31,10; 5; 30; 32; 31,46; 47; 48,52; 5,,,,,,37; 28; 65; 15; 5,,71; 72; 73,,37; 47; 78,,,37; 47; 17; 84; 85; 86; 87,32; 37; 5,37; 46; 91; 47; 92,37; 46; 95; 91; 47; 92,73; 46; 91; 98; 92; 99,18; 105; 37; 47,37; 47; 105; 107; 5,37; 47; 105; 107; 5,37; 47; 111; 5,,37; 47; 30,118; 119; 52; 73; 120,73; 120; 119; 118,118; 119; 73; 91; 52,46; 72; 92; 135; 136; 133; 114; 5,46; 92; 72; 135; 136; 133; 114; 5,,53; 73; 86; 47,73; 53; 103; 106,73; 46; 53; 103,73; 47; 53; 15; 9; 23,,92; 47; 152; 15; 153,92; 47; 152; 15; 153,160; 47; 30; 161,23; 117; 119; 20; 167; 9; 90,28; 47; 32,72; 5; 172,47; 176; 177,47; 176,126; 143; 181; 182; 73; 20,126; 143; 181; 182; 73; 20,143; 47; 187; 46,103; 53; 189; 167,53; 91; 30; 17; 47; 92,53; 91; 30; 17; 47; 92,91; 30; 17; 47; 92,174; 154; 199; 149; 67,174; 154; 199; 149; 67,103; 91; 203; 174,103; 91; 203; 174,103; 91; 174,103; 91; 174,103; 91; 174,,32; 182; 167; 73; 225,,126; 104; 32; 73; 47,126; 104; 32; 73; 47,,,238; 239; 240; 9; 165,165; 9; 150; 167,194; 1; 48; 243,194; 1; 48; 243,194; 1; 243,194; 1; 243,,,,,,,,,58; 24; 92; 259,201; 58; 165,174; 165; 201,174; 201; 24; 259,259; 92; 263,114; 92; 259; 165,259; 263; 20,,,20; 114,,150; 282,252,,,,201; 1,,,,,,,,,,,,150; 291; 279,150; 143; 279,291; 279; 305,,,,,,,,,,,,106; 320; 321,106; 320; 321,106; 320; 321
P 2 (instrument),2,15; 20 ,23,35; 36,,,41; 42; 43,45,,,9; 53,29; 58,42,60,18,,70,76,,79,81,,,29; 58,93; 96,,77,18,15,52; 112,,,117; 121; 29,35,96,15; 130; 131,15; 131; 130,137,141,,,24,42; 147,9; 149,150; 20,,24,169,,,,17,48,,23,36,,,60 ; 146,48,23; 204,207,,41,208,216; 174,226,48,24,53; 5,233,195,150; 27,48,,,,,201; 150,,150; 20; 58,20; 58,,251; 33,,255,201,24,58,58,,252,264; 267,268,269,270,276; 277; 278,201; 282,279; 233,281; 280,252,58,288,27; 150,24; 280,297; 296,149; 280,5; 294; 295,32,242,299,300,279; 150,297; 296,24,149; 280; 305,306; 307,,,263,299,128,247; 201,296; 297,5; 233,149; 280; 305,317,296; 322,324; 174,280; 281,280; 281
T P2,6; 7; 8 ,21; 22,10; 33; 34,37; 10; 7; 38,,,44; 11; 5,48; 49; 50,,,11; 54; 55,11; 5,11; 59; 5; 1,5; 11; 1,67; 53; 38; 68; 1,,74; 57; 75; 1, 37; 47; 78; 72,,13; 72; 80; 1,5,,,47; 5; 1,8; 97,,4; 7; 110,5; 115; 116,108; 109; 5; 1,5; 1,,,20; 5; 1,28; 108; 1,124; 125; 1,132; 133; 1; 134,132; 133; 1; 134,103; 5,28; 5; 1,,,18; 140; 15,5; 1,150; 20; 5; 151,9; 71; 5; 157,,168; 150,170; 150; 1,,,,10; 5,150; 184; 185; 1,,10; 158; 190,12; 126; 5; 191,,,200; 201; 52; 202,200; 201; 125,7; 205; 1; 206,7; 205; 202,,23; 1,7; 1; 202,,5; 209; 227,230; 5,5; 1,28; 232; 60,201; 5; 1,208; 237; 5,241; 201; 242,164; 134,,,,,20; 58; 92; 242,,92; 242; 71; 201,92; 242; 71; 201,,92; 58; 201,,49; 5,4; 260; 261,58; 132; 5,24; 132; 5,24; 132; 5,,,,10; 242; 143,,91; 114; 20,279; 280; 281; 201,281; 280; 278; 277; 276,201; 282; 276; 278; 277,279; 233; 276; 277; 278,47; 5,142; 33; 242,242; 134; 172,293; 5; 242,5; 294; 295,5; 242; 298,5; 294; 295,32; 149; 280,5; 294; 295,5; 294; 295,5; 298,5; 298,302; 5; 242,24; 150; 242,195; 150; 242,150; 242; 297,182; 308; 24,,,309; 242; 91,310; 5; 242,281; 294; 280,315; 282; 256; 260,201; 242; 5; 316,242; 201; 316,256; 5; 92; 318,70; 92; 242; 23; 5,27; 173; 323; 242; 5,18; 322; 325; 326; 327,282; 5; 221; 328; 329,106; 320; 321
P 3 (cancellation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T P3 ,,,126; 10; 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158; 1; 159,,,,,,,,,,,,,,,,209,,,,,,,,,,,,,,,,,,,,,,,,,,262; 149; 164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
