Id,Label,Fonction municipale ou royale ,Profession
154,Peyre Verdala, CS,MAS
155,P. Mayrayre ,,
156,Guilhem Sermet,,NOT
157,Guillelmus Domergue, CS ,AF 
158,Johannes Guiraudi,COS,MAR 
159,Johannes Nicaderii,,SAV
160,Anthoni Boza,CS ,
161,Pere Clergue,CS,AF
162,? de Groso,,
163,Guilhem Ganvier,,
164,Bernard Salvi ,COS CS,MAR 
165,Petrus Travers, CS,MAG
166,Bert Gaffolieyras,CS ,
167,Huc del Pueg Hugo de Podio ,,
168,Deodatus Guitbaudi Dorde Guitbaut, COS CS ,MAR 
169,Peyre Tarnari Damart ? ,,AF 
170,Johannes Gui,CS,AF 
171,Guilhem Bessara ,CS,
172,Helies Roffiat,CS ,
173,Johan Clari,COS,MAR
174,Johan Viguier Johannes Viguerii,COS  CS, MAR 
175,Guilhem Guasci,COS ,
176,Johan Mercadier,,SAV 
177,Henriet Angilbert,,
178,Guilhem Peyronel,CS ,
179,Johannes Jueri,,
180,P. Guayjone,CS,
181,Guiraut de Belpueg,COS CS ,
182,Johan Marinier Johannes Marinerii,CS ,
183,Vidal Planes,,
184,Guillelmus Barathini Guilhem Barathi,CS ,
185,Johannes Guiraudi ,,
186,Philippus de Pradali,COS ,
187,Pons Ramon Faral ,CS ,
188,Bernat Gini ,,
189,Johannes de Bordis ; de Bordas,CS ,
190,Johannes de Torbatien,,
191,Ramundus Saqueti,,PAR 
192,Peyre Lemosi,COS CS ,
193,Bernat Boier COS ,COS CS ,
194,Peyre Ayralh,COS TRES,NOT
195,Peyre Chalvant ou Peyre Chalvaric ? ,COS CS ,
196,Bernat de Gaure,COS CS ,
197,Jolia Guiraut,,
198,Johan Arnaut,,
199,Johan Bertran Mostalho,,
200,Bernardus Valetas,,
201,Hervetus Engilberti Hervet Engilbert alias Belhirelh  ou alias Belvuelh ,,MAC 
202,Johannes Porte ,NOTC,NOT
203,Bernat Guilhem ,,
204,Bernarde Armengave,,
205,Johannes Mather Johannes Mathei,CS ,
206,Pere Johan Pont ,,
207,Ramundo Lemosini, COS ,MAR 
208,Johan Costa, CS,BAST 
209,Bartholomei Valeta berth Valete,,SAV
210,Ramon del Stant,,
211,Brenguier Fabre ,CS ,
212,?,,
213,Johan Bosc ,,
214,Johan Talhafer,,
215,Ramon Brau ,CS,
216,Pontio Venherie ,,NOT
217,Anthoni Planas ,COS CS,NOT 
218,Bernat Tholsa,COS,NOT
219,Anthoni Sabatier ,COS CS ,
220,Guilhem del Pon,COS CS ,
221,Bert de Rosiens. ,,
222,G. Colombier,,
223,P. Mayreh ,,
224,Johan Barcha,,
225,Berth. de Montelhs,,
226,Petro Juliani,,MAS
227,Pons Costa,,CLE  
228,G. Baouest,,
229,Aycart Marinier ,,
230,Arnaldus Yssaras junior , COS CS,MAS 
231,Johan Lemosi,,AF 
232,Johannes Cambaresi ,CS ,
233,Petro Gaufredi Peyre Jaufre alias Cumbaffa ,,AF 
234,Anthonius Boerii Boier,COS  CS,NOT 
235,Guillelmus Gaffolieyras,COS CS ,
236,Guillelmus Berdi,COS ,
237,Deodatus Asserii ?,,
238,Johannes Verdala,,MAS
239,Arnaldus Textoris,,
240,G. Bonascre,,
241,Berdus Valentas,,
242,Hugo Amori Hugo Amoros. ,SERVD,
243,Guilhem Rato alias Savoya ?,,
244,Anthoni Coste Costa,CS ,
245,Peyre Godele ,COS ,
246,Johan de Sang ,COS CS ,
247,Me Paul Gast Paulo Vasconis,COS CS,
248,Johannes de Meyannello,,
249,Johannes Rogerii,,
250,Bernat Camalier ? ,CS ,
251,P. Tamari d'Amaric (le même ?),CS,
252,Johan del Pueg Johan dels Puechs Johannes de Podio,SERV CS,AF
253,Peyre Cenegalh,,
254,Arman Lebayrat ,,
255,Bernat de Conis , , 
256,Duran del Pradal,COS,MAR
257,Guillelmus Ausardi,COS,MAR
258,Bernat Giri ,COS CS ,
259,Johannes Meleti,,
260,Philipus Clari,,MAR 
261,Berdus de Fanarcio,,
262,Arnaldus de Ruppibus,,
263,Barthus Vasconis Bartholomeo Vasconis,,
264,Eymeric Ribeyral Aymeric de Ribieyra,CS,
265,Bertran Cavalier ,,
266,Ramon Astier ,,
267,Bertrando Pagesii ,,
268,Guillelmo Teneza,,
269,Berdo Renhas, CS,AF 
270,Anthoni Santhol Sanchol,CS ,
271,Peyre Tenegalh ,,
272,Ycardus Marinerii,COS,MAR 
273,Poncius Vernherie,COS CS ,NOT
274,Petrus de Bonta,COS,HOS
275,Ramundus de Lumine,COS,
276,Johanni Jordani,COS,SAV 
277,Gillelmo Ginesti ,,
278,Petro Bruni ,,
279,Bernardus Salgues, COS CS,MAR
280,Ermengardus Textoris Ermengau Tessieyre,,
281,Hervetus Cosi Hervetus Cosini,CS,
282,Anth. Colli ou Colh,CS ,
283,,,
284,G. Blanc,,MAG
285,Bernat Fabre,,
286,Johan Coges ,,
287,Albertine  Leyre,,
288,Johanni Corberie,,AF 
289,Pos Cumbetas,COS ,NOT
290,Guillem Chatbert,COS CS ,
291,Barthomiau Fiechiau Barth. Fiechini ,COS ,
292,Guillem Cavalo,COS ,
293,Aymericus Quercini,,NOT
294,Salvius Camaleti ,,
295,Johannes Sancti Martini ou Johannes Martini ou Johannes Marti , CS COS,NOT
296,Johan Clemens,,
297,Peyre Chalvaric ou Peyre Chalvant ? ,,
298,Guillelmus Vedelh Guillelmi Bedelli,CS ,
299,Guillelmo Boyssel de Cerssaco,,
300,Berdo Bonas  ou Borias,CS,BAST
301,Guiraut Alari,COS ,MAR 
302,Matheus Bassalh,,
303,Franso Blanc ,,
304,Guilhem Nat,CS ,
305,Guinoto ? Boiras Guinotus Borias Gui Borias,CS,BAS
306,Rigal Girgols,,
307,Anthoni Rigaut,,SAV 
308, Ramundus Serras,COS ,NOT 
309,Johannes Clari ,,
310,Petrus Motas junior: jove,CS ,
311,Peyre de Nuptias,COS CAP, 
312,Arnaut de Colis,,NOT
313,Peyre Chatbert,COS ,
314,P. de Vinnat,COS ,
315,Adzemarius Banderie Adhemar Vandieyra,COS,
316,Peyre Guiraut Petrus Guiraudi alias Fromen,,
317,Johanni Joc ?,,
318,Huguetus de Cazelis ,,
319,Bernat Issarint,COS,
320,Ramundus Albiespini ,,
321,Philippus Arnaldi,,BAS
322,Guiraudo Chalvarici,,
323,Johannes de Castronovo,,
324,Adhemar Julia Adhemario Juliani,,MAS
325,Jacobus Massip,,
326,Ycardus de Torondo ,,
327,Guillelmus Guilhotha,,
328,Deodatus Noal,SERV ,
329,Stephanus Fabri,,
330,Guilhem de Montalasac,COS CS LTV,
331,Arnaut Boyer,COS ,
